사업ID,자회사ID,사업주체,사업유형,사업명,지원금액,시작일자,종료일자,진행현황
P0001,S1310,중앙정부,인력양성,청년 디지털 일자리 사업,290,2021-05-23,2023-12-13,완료
P0002,S0210,지자체,위탁용역,신기술 동향 분석 용역,760,2022-03-09,2022-10-07,완료
P0003,S0062,중앙정부,R&D지원,창업성장기술개발사업,720,2021-07-23,2024-01-22,진행중
P0004,S1331,공공기관,기술사업화,기술이전 사업화 지원,760,2021-10-12,2024-07-16,진행중
P0005,S1781,중앙정부,펀드운용,모태펀드 자펀드 운용,550,2021-12-15,2023-03-24,완료
P0006,S0319,중앙정부,인력양성,청년 디지털 일자리 사업,120,2022-01-25,2022-10-31,완료
P0007,S0736,공공기관,기술사업화,TIPS 프로그램,940,2022-04-16,2024-04-14,진행중
P0008,S0256,대학,R&D지원,산학연 Collabo R&D,810,2022-09-26,2025-09-16,진행중
P0009,S1765,중앙정부,R&D지원,창업성장기술개발사업,60,2022-11-09,2023-12-27,완료
P0010,S1584,중앙정부,R&D지원,디딤돌 기술개발,130,2022-01-25,2023-05-04,완료
P0011,S0929,지자체,R&D지원,산학연 Collabo R&D,460,2021-08-03,2023-12-17,완료
P0012,S0547,공공기관,기술사업화,TIPS 프로그램,780,2022-10-13,2023-10-03,완료
P0013,S1094,공공기관,R&D지원,미래유망 R&D 사업,350,2023-08-06,2025-11-18,진행중
P0014,S1410,지자체,기술사업화,TIPS 프로그램,300,2023-04-22,2023-11-20,완료
P0015,S1649,중앙정부,R&D지원,디딤돌 기술개발,730,2023-06-17,2025-12-18,진행중
P0016,S0645,중앙정부,기술사업화,기술이전 사업화 지원,190,2021-09-29,2022-08-17,완료
P0017,S0506,공공기관,기술사업화,기술이전 사업화 지원,750,2022-02-13,2023-08-17,완료
P0018,S0450,대학,R&D지원,미래유망 R&D 사업,120,2023-02-13,2023-09-29,완료
P0019,S1764,중앙정부,기술사업화,기술이전 사업화 지원,770,2021-03-07,2022-10-02,완료
P0020,S0782,지자체,기술사업화,실험실 특화형 창업선도대학,710,2023-06-01,2023-12-09,완료
